trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
131,False,"{'a': 0.19999999999999982, 'e': 0.07427357821433388}",20,9,18.65239110718999,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.19999999999999982, 'e': 0.07280286282743559}",25,11,22.3969844496188,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.19999999999999982, 'e': 0.07136126955638605}",25,13,12.606100606459034,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.19999999999999982, 'e': 0.06994822174465536}",20,2,29.258965325873238,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.19999999999999982, 'e': 0.06856315415427791}",25,14,7.682082530228488,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.19999999999999982, 'e': 0.06720551273974976}",25,13,24.268921499426757,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.19999999999999982, 'e': 0.06587475442640295}",20,6,18.57000669623543,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.19999999999999982, 'e': 0.06457034689316847}",20,0,3.2242197060859548,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.19999999999999982, 'e': 0.0632917683596407}",30,16,24.192196284209313,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.19999999999999982, 'e': 0.06203850737735829}",25,9,18.61767427033249,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.19999999999999982, 'e': 0.06081006262521795}",25,6,32.287908386430416,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.19999999999999982, 'e': 0.05960594270893937}",25,12,-28.62533220804108,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
143,False,"{'a': 0.19999999999999982, 'e': 0.05842566596450083}",25,13,23.465969781896526,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.19999999999999982, 'e': 0.05726876026546736}",30,4,46.03485855213779,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.19999999999999982, 'e': 0.056134762834133725}",20,13,14.851829859665987,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.19999999999999982, 'e': 0.05502322005640723}",20,4,17.54205600988339,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.19999999999999982, 'e': 0.05393368730035602}",25,17,13.873763538704257,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.19999999999999982, 'e': 0.05286572873835037}",25,14,-20.763703210059465,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.19999999999999982, 'e': 0.05181891717272583}",35,25,16.7454941306665,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.19999999999999982, 'e': 0.0507928338648985}",20,0,22.13193354498145,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
151,False,"{'a': 0.19999999999999982, 'e': 0.049787068367863944}",25,18,12.615110909775417,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,15,7.818466673017921,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",35,13,42.91321449295499,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,16,13.809350775978352,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,18,13.067260113452162,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,17.17392678712302,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,17,16.791234299500477,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,16,23.767169428913597,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,11,14.95314221941477,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,21,25.6211119297373,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,7,17.897578439123937,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
